family_name,block_name,copies,avg_spacing,length,width,height,orientation,bbox,center,instance_ids
2227165887,Rebar Bar - Part 2227165887-431004-3D Ortho,1,,59.86,22.08,26.39,Diagonal,"[94916.807, 7913.174, 94938.887, 7939.565]","[94927.847, 7926.369]",[31]
2352736704,Rebar Bar - Part 2352736704-431004-3D Ortho,1,,169.2,61.0,76.54,Vertical,"[94858.448, 7844.323, 94919.451, 7920.861]","[94888.95, 7882.592]",[28]
3575411732,Rebar Bar - Part 3575411732-V7-3D Ortho,1,,11.58,11.56,0.61,Horizontal,"[94762.231, 7880.723, 94773.792, 7881.335]","[94768.011, 7881.029]",[36]
3575411732,Rebar Bar - Part 3575411732-431004-3D Ortho,1,,25.18,14.77,19.21,Vertical,"[94859.59, 7931.723, 94874.36, 7950.936]","[94866.975, 7941.329]",[29]
3575411732,Rebar Bar - Part 3575411732-V6-3D Ortho,1,,65.44,30.81,18.04,Horizontal,"[94853.675, 7930.415, 94884.481, 7948.46]","[94869.078, 7939.438]",[34]
360578841,Rebar Bar - Part 360578841-V5-3D Ortho,1,,154.68,0.0,183.54,Vertical,"[94856.124, 7746.873, 94856.124, 7930.415]","[94856.124, 7838.644]",[33]
360578841,Rebar Bar - Part 360578841-V10-3D Ortho,1,,182.53,0.0,183.54,Vertical,"[94838.318, 7660.031, 94838.318, 7843.573]","[94838.318, 7751.802]",[39]
360578841,Rebar Bar - Part 360578841-431004-3D Ortho,1,,352.97,8.0,183.54,Vertical,"[94930.887, 7729.632, 94938.887, 7913.174]","[94934.887, 7821.403]",[32]
3635738315,Rebar Bar - Part 3635738315-431004-3D Ortho,1,,1528.21,16.0,748.92,Vertical,"[94444.998, 7659.669, 94460.998, 8408.589]","[94452.998, 8034.129]",[42]
3635738315,Rebar Bar - Part 3635738315-V12-3D Ortho,1,,1807.11,16.0,975.7,Vertical,"[94837.284, 7704.378, 94853.284, 8680.08]","[94845.284, 8192.229]",[44]
3660531219,Rebar Bar - Part 3660531219-V14-3D Ortho,1,,1509.74,16.0,745.63,Vertical,"[94330.705, 7580.569, 94346.705, 8326.2]","[94338.705, 7953.385]",[49]
4101040190,Rebar Bar - Part 4101040190-431004-3D Ortho,1,,197.43,122.13,83.67,Horizontal,"[94783.485, 7874.777, 94905.611, 7958.446]","[94844.548, 7916.611]",[50]
4101040190,Rebar Bar - Part 4101040190-V16-3D Ortho,1,,269.13,124.44,90.64,Horizontal,"[94827.183, 7856.028, 94951.619, 7946.671]","[94889.401, 7901.35]",[51]
650701189,Rebar Bar - Part 650701189-431004-3D Ortho,1,,1760.81,16.0,865.22,Vertical,"[94330.705, 7587.831, 94346.705, 8453.05]","[94338.705, 8020.44]",[97]
766981352,Rebar Bar - Part 766981352-V11-3D Ortho,1,,26.09,7.45,14.65,Vertical,"[94831.443, 7791.318, 94838.892, 7805.969]","[94835.168, 7798.644]",[40]
766981352,Rebar Bar - Part 766981352-431004-3D Ortho,1,,170.71,61.35,77.28,Vertical,"[94878.109, 7860.918, 94939.461, 7938.196]","[94908.785, 7899.557]",[35]
878712912,Rebar Bar - Part 878712912-V48-3D Ortho,1,,13.99,16.82,7.06,Horizontal,"[95620.878, 7250.574, 95637.698, 7257.636]","[95629.288, 7254.105]",[102]
878712912,Rebar Bar - Part 878712912-V45-3D Ortho,1,,15.13,16.92,7.49,Horizontal,"[93147.334, 7883.201, 93164.25, 7890.692]","[93155.792, 7886.947]",[92]
878712912,Rebar Bar - Part 878712912-V51-3D Ortho,1,,15.55,16.91,7.72,Horizontal,"[96569.076, 7967.518, 96585.985, 7975.239]","[96577.53, 7971.378]",[112]
